,topic_match,senti,length,sat
256,0,1.0,174,#NAME?
257,1,1.0,63,0
258,0,1.0,29,0
259,1,1.0,138,0
260,1,1.0,135,0
261,0,1.0,90,0
262,1,1.0,88,#NAME?
263,1,1.0,148,#NAME?
264,1,1.0,152,#NAME?
265,0,1.0,52,0
266,1,1.0,58,0
267,1,1.0,21,0
268,1,1.0,21,0
269,1,1.0,14,0
270,1,1.0,105,#NAME?
271,0,1.0,36,0
272,1,1.0,74,0
273,0,1.0,79,0
274,0,1.0,89,0
275,1,1.0,96,0
276,1,1.0,90,0
277,1,1.0,176,1
278,1,1.0,110,#NAME?
279,1,1.0,167,#NAME?
280,0,1.0,77,0
281,1,1.0,158,0
282,1,1.0,39,0
283,0,1.0,48,0
284,1,1.0,129,0
285,1,1.0,39,0
286,1,1.0,210,0
287,1,1.0,20,0
288,0,1.0,117,#NAME?
289,1,1.0,91,0
290,1,1.0,140,0
291,1,1.0,57,0
292,0,1.0,93,0
293,1,1.0,179,0
294,1,1.0,133,1
295,1,1.0,259,1
296,1,1.0,84,0
297,1,1.0,69,0
298,1,1.0,17,0
299,1,1.0,226,1
300,1,1.0,55,0
301,0,1.0,58,0
302,1,1.0,129,0
303,1,1.0,15,0
304,0,1.0,48,0
305,0,1.0,185,1
306,0,1.0,98,0
307,0,1.0,57,0
308,0,1.0,95,0
309,0,1.0,210,0
310,1,1.0,142,0
311,1,1.0,141,1
312,1,1.0,209,0
313,1,1.0,37,0
314,1,1.0,108,1
315,0,1.0,137,0
316,1,1.0,92,0
317,1,1.0,39,0
318,0,1.0,36,0
319,1,1.0,97,#NAME?
320,1,1.0,98,0
321,1,1.0,189,0
322,0,1.0,71,0
323,0,1.0,115,0
324,1,1.0,7,0
325,0,1.0,83,0
326,0,1.0,91,0
327,1,1.0,170,1
328,1,1.0,50,0
329,0,1.0,54,0
330,1,1.0,187,0
331,1,1.0,99,0
332,1,1.0,88,0
333,0,1.0,41,0
334,0,1.0,34,0
335,0,1.0,166,1
336,1,1.0,117,0
337,1,1.0,136,1
338,0,1.0,170,0
339,0,1.0,129,0
340,0,1.0,27,0
341,0,1.0,195,0
342,1,1.0,63,0
343,1,1.0,32,0
344,1,1.0,48,0
345,0,1.0,67,0
346,1,1.0,103,#NAME?
347,1,1.0,147,#NAME?
348,0,1.0,44,0
349,1,1.0,72,0
350,1,1.0,78,0
351,0,1.0,90,0
352,1,1.0,96,0
353,0,1.0,55,0
354,0,1.0,261,#NAME?
355,1,1.0,46,0
356,1,1.0,78,0
357,1,1.0,92,0
358,0,1.0,108,0
359,1,1.0,67,0
360,1,1.0,70,0
361,0,1.0,96,0
362,0,1.0,96,0
363,1,1.0,227,#NAME?
364,1,1.0,60,0
365,0,1.0,20,0
366,0,1.0,52,0
367,0,1.0,67,0
368,1,1.0,88,0
369,0,1.0,129,0
370,0,1.0,88,0
371,1,1.0,76,#NAME?
372,1,1.0,30,0
373,1,1.0,208,0
374,0,1.0,70,0
375,0,1.0,59,0
376,0,1.0,98,#NAME?
377,1,1.0,43,0
378,0,1.0,52,0
379,1,1.0,134,1
380,0,1.0,30,0
381,0,1.0,101,0
382,1,1.0,82,1
383,1,1.0,115,0
384,1,1.0,283,1
385,0,1.0,60,0
386,0,1.0,90,0
387,1,1.0,51,0
388,1,1.0,49,0
389,0,1.0,69,1
390,1,1.0,43,0
391,0,1.0,104,0
392,0,1.0,76,0
393,0,1.0,129,0
394,1,1.0,132,#NAME?
395,0,1.0,24,0
396,0,1.0,210,0
397,0,1.0,110,0
398,1,1.0,74,0
399,0,1.0,28,0
400,0,1.0,176,1
401,1,1.0,125,0
402,0,1.0,265,0
403,1,1.0,95,0
404,0,1.0,213,1
405,1,1.0,85,#NAME?
406,1,1.0,219,0
407,0,1.0,54,0
408,0,1.0,154,1
409,1,1.0,141,#NAME?
410,0,1.0,152,0
411,0,1.0,61,0
412,1,1.0,497,1
413,1,1.0,117,#NAME?
414,1,1.0,127,0
415,1,1.0,380,1
416,0,1.0,32,0
417,1,1.0,65,0
418,0,1.0,212,0
419,0,1.0,122,1
420,1,1.0,85,0
421,0,1.0,152,0
422,0,1.0,60,0
423,0,1.0,140,0
424,0,1.0,122,0
425,1,1.0,162,1
426,0,1.0,88,#NAME?
427,1,1.0,59,0
428,1,1.0,35,1
429,1,1.0,17,0
430,1,1.0,128,0
431,1,1.0,74,0
432,1,1.0,41,0
433,1,1.0,35,0
434,1,1.0,270,#NAME?
435,0,1.0,43,0
436,1,1.0,58,0
437,1,1.0,56,0
438,1,1.0,197,1
439,1,1.0,125,1
440,1,1.0,45,0
441,1,1.0,182,0
442,1,1.0,22,0
443,1,1.0,161,1
444,1,1.0,48,0
445,1,1.0,181,1
446,1,1.0,82,0
447,1,1.0,84,0
448,0,1.0,25,0
449,0,1.0,117,0
450,1,1.0,66,0
451,1,1.0,35,0
452,0,1.0,59,0
453,0,1.0,56,0
454,1,1.0,134,#NAME?
455,1,1.0,156,0
456,1,1.0,49,0
457,0,1.0,43,0
458,1,1.0,53,0
459,1,1.0,140,1
460,0,1.0,263,#NAME?
461,1,1.0,95,0
462,0,1.0,33,0
463,0,1.0,36,0
464,1,1.0,54,0
465,1,1.0,58,0
466,0,1.0,52,0
467,0,1.0,77,1
468,0,1.0,38,0
469,0,1.0,81,0
470,0,1.0,66,0
471,1,1.0,88,0
472,1,1.0,131,#NAME?
473,0,1.0,195,0
474,1,1.0,117,1
475,1,1.0,57,0
476,1,1.0,54,0
477,1,1.0,56,0
478,1,1.0,67,0
479,0,1.0,54,0
480,0,1.0,31,0
481,1,1.0,101,0
482,0,1.0,70,0
483,0,1.0,63,0
484,1,1.0,62,0
485,1,1.0,80,0
486,0,1.0,69,0
487,1,1.0,87,0
488,0,1.0,81,0
489,0,1.0,56,0
490,0,1.0,64,0
491,1,1.0,62,0
492,0,1.0,34,0
493,1,1.0,114,#NAME?
494,1,1.0,146,0
495,1,1.0,245,0
496,1,1.0,40,0
497,1,1.0,61,0
498,1,1.0,101,1
499,0,1.0,33,0
500,1,1.0,255,1
501,1,1.0,99,1
502,0,1.0,121,1
503,1,1.0,104,0
504,0,1.0,62,0
505,1,1.0,199,1
